PLAYER,TEAM,GP,W,L,MIN,PTS,DRIVEPTS,DRIVEFG,CSPTS,CSFG,PULLUPPTS,PULLUPFG,PAINTTOUCHPTS,PAINTTOUCHFG,POSTTOUCHPTS,POSTTOUCHFG,ELBOWTOUCHPTS,ELBOWTOUCHFG,EFG
Stephen Curry,GSW,69,52,17,2331,1881,268,50,655,44.4,570,42.7,81,70,16,50,60,67.6,60.4
Shaun Livingston,GSW,64,45,19,967,258,35,48.3,22,57.9,72,40,89,65.6,26,42.3,26,57.1,51.9
Quinn Cook,GSW,74,49,25,1059,509,82,45,179,47.7,186,41.4,20,55.6,0,0,12,66.7,55.7
Marcus Derrickson,GSW,11,9,2,67,46,0,0,25,47.4,13,50,9,75,5,40,2,100,63.6
Klay Thompson,GSW,78,55,23,2652,1680,167,51.4,744,42,443,44,159,62.7,73,47.1,109,57.5,55.3
Kevon Looney,GSW,80,56,24,1481,500,30,54.5,39,46.3,10,31.3,334,68.8,12,46.2,65,64.1,62.7
Kevin Durant,GSW,78,54,24,2702,2027,445,53.6,342,45.2,704,46.7,135,73,242,61.1,107,55.8,57.1
Jordan Bell,GSW,68,46,22,788,223,22,41.7,18,29,38,40.4,79,58.1,5,25,20,32,51.6
Jonas Jerebko,GSW,73,52,21,1218,459,29,44.4,233,40.8,16,25.9,107,60.3,10,66.7,56,72.7,55.6
Jacob Evans,GSW,30,21,9,204,40,6,37.5,12,26.7,18,37.5,2,50,0,0,2,100,37.7
Draymond Green,GSW,66,48,18,2065,486,55,48.9,147,28.6,23,39.3,107,61,29,52.2,32,45.2,50.1
DeMarcus Cousins,GSW,30,23,7,771,488,65,39.6,91,30.3,7,23.1,138,66.7,105,51.2,53,62.5,51.5
Damion Lee,GSW,32,18,14,375,158,29,50,72,39.7,41,47.4,8,66.7,0,0,2,100,54.7
Damian Jones,GSW,24,15,9,410,130,0,0,4,40,0,0,91,78.4,1,0,17,72.7,71.6
Andrew Bogut,GSW,11,8,3,134,39,4,100,0,0,0,0,29,50,2,50,4,40,50
Andre Iguodala,GSW,68,47,21,1578,389,33,47.8,138,32.6,28,30,96,88.7,2,20,18,72.7,57.9
Alfonzo McKinnie,GSW,72,53,19,1003,337,19,39.1,128,36.1,14,36.8,117,67.9,2,50,21,75,56.4
